Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_RR Norm: 0.187864
1.00138
0.999424
0.999424
0.999424
0.991232
0.996352
0.996352
0.992256
0.994304
0.990272
