Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.341176
10.5839
10.5491
10.5223
10.5694
10.5262
10.5216
10.5324
10.5286
10.5455
10.5502
