Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
5.48269
5.42342
5.43098
5.4408
5.4319
5.43712
5.44198
5.43331
5.46624
5.45098
