Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
17.3673
17.3311
17.2671
17.3199
17.2706
17.2961
17.3159
17.3548
17.3382
17.3241
