Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
12.1835
12.1552
12.159
12.1368
12.1598
12.1959
12.1511
12.1352
12.1392
12.1301
