Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
38.3881
38.1845
38.2094
38.282
38.1355
38.2015
38.387
38.342
38.4297
38.3489
