Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
26.6017
26.3724
26.3048
26.3811
26.3308
26.3738
26.3017
26.3373
26.3653
26.3547
