Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.54157
2.54269
2.52518
2.52416
2.52314
2.52621
2.52109
2.52006
2.52314
2.51802
