Striped coloring (storing nothing),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
50.7712
50.666
50.6355
50.7019
50.6992
50.6647
50.6176
50.5939
50.621
50.6332
