Striped coloring (storing nothing),41-44,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
717.913
718.703
718.523
718.325
718.451
718.229
718.154
718.468
718.403
718.269
