Striped coloring (storing nothing),41-44,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
21163.5
21131.3
21143
21246.3
21241.4
21235.9
21240.3
21243.2
21240.7
21247
