Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
717.33
718.123
717.804
717.845
718.029
717.942
717.779
718.021
717.789
717.754
