Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,MG,vanilla_version_RR Norm: 0.511717
145.534
145.665
145.624
145.631
145.541
145.631
145.678
145.583
145.627
145.761
