Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
19990.4
20044.3
20056.4
20053.7
20054.7
20060.3
20072.7
20075.6
20073.3
20065
