Striped coloring (pre-computing COR Format),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
49.476
49.6285
49.682
49.6711
49.6691
49.6523
49.6879
49.7023
49.6883
49.6769
