Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,CG,vanilla_version_RR Norm: 0.511717
16323.2
16308.1
16304.5
16311.2
16315.1
16316.1
16320.7
16311.1
16317.2
16314.8
