Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511224
141.985
141.766
142.093
142.355
141.736
142.207
141.878
141.451
141.764
141.407
