Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_RR Norm: 0.511717
38.502
38.4429
38.4198
38.4746
38.4276
38.3918
38.4371
38.3865
38.4776
38.4424
