Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,CG_noPreconditioning,vanilla_version_RR Norm: 0.511717
717.496
717.958
717.918
717.843
718.04
717.908
717.722
717.957
718.053
717.926
