Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,256,128,128,111777784,MG,vanilla_version_RR Norm: 0.511717
118.03
117.959
117.93
117.853
117.93
117.992
117.866
117.763
117.811
117.944
