Striped Warp Reduction (kernel reduction),41-44,3d_27pt,128,128,128,2097152,Dot,vanilla_version
0.070432
0.068416
0.071456
0.067584
0.067584
0.067584
0.068608
0.067584
0.067584
0.067584
