Striped Warp Reduction (kernel reduction),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.049696
0.046976
0.04608
0.046208
0.04608
0.04608
0.046144
0.047104
0.0472
0.045152
