Striped Warp Reduction,41-44,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
226.387
226.385
226.419
226.365
226.885
226.479
226.4
226.468
226.661
226.636
