Striped Warp Reduction,41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
8.74736
8.69693
8.74726
8.67197
8.71997
8.66803
8.77104
8.84218
8.852
8.85642
