Striped Warp Reduction,41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
122.497
122.54
122.923
122.981
122.999
123.214
123.167
123.494
123.488
123.213
