Striped Warp Reduction,41-44,3d_27pt,128,128,128,55742968,MG,vanilla_version_RR Norm: 0.473484
8529.39
8528.09
8527.57
8529.17
8528.38
8528.08
8528.52
8528.93
8529
8528.92
