Striped Warp Reduction,41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_RR Norm: 0.473484
3723.96
3720.18
3720.19
3720.23
3720.28
3720.25
3720.25
3720.26
3720.18
3720.16
