Striped Warp Reduction,41-44,3d_27pt,32,32,32,830584,CG,vanilla_version_RR Norm: 0.238672
3452.39
3454.43
3454.48
3453.99
3454.26
3454.17
3454.17
3454.25
3454.26
3454.27
