Striped Warp Reduction,41-44,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
2115.4
2113.93
2114.11
2113.51
2113.83
2114.04
2114.19
2113.88
2114.23
2114.35
