Striped Warp Reduction,41-44,3d_27pt,128,128,64,27725560,MG,vanilla_version_RR Norm: 0.418618
4249.78
4248.99
4248.65
4249.18
4248.94
4249.3
4249.55
4249.49
4249.42
4249.42
