Striped Warp Reduction,41-44,3d_27pt,8,8,8,10648,CG_noPreconditioning,vanilla_version_RR Norm: 0.187864
1.30342
1.24086
1.22845
1.20912
1.23248
1.22621
1.3151
1.3024
1.31491
1.31158
