Striped Warp Reduction,41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
26.013
25.8929
25.9053
25.8925
25.8792
26.0955
26.1938
26.2131
26.0448
26.184
