Striped Warp Reduction,41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
57126.4
57331.3
57332.5
57332.2
57331.7
57332.5
57331.6
57333
57332.4
57333.1
