Striped Warp Reduction,41-44,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_RR Norm: 0.375064
62.7737
62.8304
62.7411
62.6549
62.8492
62.8677
62.8531
62.882
62.951
62.7393
