Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 88
1208.35
1214.92
1214.35
1209.05
1211.31
1215.03
1214.31
1213.93
1214.26
1214.42
