Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 45
551.393
547.736
550.915
550.757
549.296
550.889
550.79
551.026
551.281
550.757
