Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 317
193.986
193.881
193.813
193.821
193.873
193.906
193.668
193.777
193.902
193.836
