Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 45
17.6986
17.7004
17.6863
17.5835
17.6882
17.6301
17.6345
17.6825
17.7109
17.6674
