Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_CG iterations: 174
6313.77
6309.06
6310.91
6306.06
6309.7
6321.67
6309.74
6317.61
6306.06
6315.96
