Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 25
284.765
283.24
283.257
283.117
283.184
283.268
282.912
283.387
283.183
283.276
