Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 317
66912.8
66992.6
66966
66987.5
66968.3
66984.1
66959
66989.3
66968.6
66993.2
