Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 88
13.4973
13.3761
13.3836
13.3691
13.3897
13.383
13.3876
13.3778
13.4007
13.4203
