Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 88
79.4017
79.4823
79.5538
79.585
79.6511
79.6576
79.6435
79.5957
79.65
79.6574
