Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 174
34.3031
34.1345
34.0947
34.1411
34.0963
34.1496
34.1246
34.0915
34.0625
34.0289
