Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 25
11.2264
11.145
11.1739
11.1958
11.1497
11.1554
11.1904
11.1697
11.1682
11.1581
