Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 45
12.1481
12.0279
12.0277
12.0351
12.0424
12.0177
12.0628
12.062
12.0849
12.0305
