Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 174
912.707
913.311
913.619
913.652
913.622
913.82
913.965
913.632
913.693
914.005
