Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 317
13687.2
13699.7
13688.6
13702.8
13692.9
13701.7
13681.7
13702.1
13681.3
13701.2
