Striped Box coloring (coloringBox 4x4x4),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 25
7.48826
7.48058
7.47152
7.43715
7.45958
7.45312
7.49139
7.47558
7.48976
7.4585
