Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_RR Norm: 0.186879
2.44326
2.46989
2.46579
2.46579
2.4607
2.46374
2.45248
2.45965
2.44941
2.4617
