Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,128,55742968,MG,vanilla_version_RR Norm: 0.473484
101.493
100.744
100.65
100.663
100.565
100.656
100.529
100.49
100.578
100.704
