Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,32,32,32,830584,MG,vanilla_version_RR Norm: 0.238672
16.8007
16.8059
16.7844
16.812
16.8479
16.8673
16.8428
16.8223
16.8643
16.7772
