Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
47.3544
47.3457
47.3631
47.3938
47.3354
47.2852
47.3037
47.3876
47.2914
47.36
