Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_RR Norm: 0.473484
225.832
225.841
226.054
226.193
226.482
226.049
225.902
226.009
226.305
226.373
