Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,CG,vanilla_version_RR Norm: 0.341176
2184.14
2184.1
2184.49
2187.86
2190.99
2190.33
2188.5
2189.75
2187.59
2187.2
