Striped Box coloring (coloringBox 3x3x3) (coop_num 4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_RR Norm: 0.335813
3.23021
3.21094
3.21882
3.2183
3.22397
3.20346
3.21456
3.22282
3.19699
3.20784
