Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,128,64,64,13790200,MG,vanilla_version_RR Norm: 0.375064
42.8855
42.8503
43.0438
43.008
43.008
42.9886
42.8349
43.0049
42.8677
42.8605
