Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_RR Norm: 0.418618
22.4759
22.4205
22.4231
22.3823
22.4526
22.4757
22.4049
22.4176
22.4128
22.4137
