Striped coloring (pre-computing COR Format),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_RR Norm: 0.238672
5.27699
5.2408
5.24058
5.26259
5.22858
5.23827
5.23254
5.23043
5.29507
5.24723
