Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_RR Norm: 0.341176
26.4147
26.3785
26.447
26.3106
26.1722
26.4082
26.4206
26.4399
26.4055
26.4199
