Striped coloring (pre-computing COR Format),41-44,3d_27pt,24,24,24,343000,CG_noPreconditioning,vanilla_version_RR Norm: 0.209858
4.36672
4.36285
4.37997
4.35168
4.37286
4.35642
4.35949
4.35635
4.36288
4.35453
