Striped coloring (storing nothing),41-44,3d_27pt,128,128,64,27725560,CG_noPreconditioning,vanilla_version_RR Norm: 0.418618
123.075
123.023
122.905
122.892
123.047
122.966
122.96
123.144
123.091
123.015
