Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_RR Norm: 0.375064
13.9855
13.9604
13.9613
13.9898
14.0061
14.0165
14.0297
14.0063
14.0077
13.9517
