Striped coloring (storing nothing),41-44,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_RR Norm: 0.238672
8.73837
8.70442
8.70432
8.70666
8.7161
8.74467
8.71907
8.66579
8.72995
8.68592
